"1";"2015-03-16";"1";"Monday";"Homemade Pizza";"Salmon Nibbles w/ Potatoes <i>msc</i>";"Homebake & Milkshake"
"2";"2015-03-17";"1";"Tuesday";"Posh Dog w/ Onions";"Baked Potato & Fillings <i>v</i>";"Fruit Crumble & Custard"
"3";"2015-03-18";"1";"Wednesday";"Chicken Fillet Bites";"Cheese Wheel <i>v</i>";"Fresh Fruit Salad"
"4";"2015-03-19";"1";"Thursday";"Roast Beef w/ Roast Potatoes";"Homemade Soup & Sandwich Platter <i>v</i>";"Cook's Homemade Pudding"
"5";"2015-03-20";"1";"Friday";"Fish & Chips";"Scotch Beef or Venison Burger in a Bun";"Jelly & Fruit"
"6";"2015-03-23";"2";"Monday";"Pasta Bolognaise";"Cheese & Vegetable Fajita Wrap <i>v</i>";"Ice Cream & Fruit"
"7";"2015-03-24";"2";"Tuesday";"Cook's Homemade Chicken Curry & Rice";"Sasuage Plait w/ Potatoes & Ketchup";"Fruit Slice"
"8";"2015-03-25";"2";"Wednesday";"Macaroni Cheese <i>v</i>";"Homemade Soup & Sanwich Platter <i>v</i>";"Homebake & Milkshake"
"9";"2015-03-26";"2";"Thursday";"Roast Chicken w/ Roast Potatoes";"Ham Salad w/ Roast Potatoes & Homemade Coleslaw";"Fresh Fruit Salad"
"10";"2015-03-27";"2";"Friday";"Fish Fillet Fingers <i>msc</i>";"Cottage Pie";"Jam & Coconut Sponge & Custard"
"11";"2015-03-30";"3";"Monday";"Pasta Bolognaise";"Salmon Nibbles & Ketchup <br><i>Potato Wedges/Dice</i>";"Rice Pudding & Fruit"
"12";"2015-03-31";"3";"Tuesday";"Macaroni Cheese";"BBQ Chicken on Flat Bread";"Cooks Homebake & Milkshake"
"13";"2015-04-01";"3";"Wednesday";"Fish Fingers";"Sausage Roll Plait<br><i>Mashed Potatoes</i>";"Banana Cake & Custard"
"14";"2015-04-02";"3";"Thursday";"Roast Chicken";"Ham & Pasta Salad<br><i>Roast Potatoes</i>";"Mini Milk Lolly"
"15";"2015-04-03";"3";"Friday";"Beef/Venison Burger in a bun";"Chunky Cod Bites";"Fruit Jelly & Cream"
"16";"2015-04-06";"4";"Monday";"Macaroni Cheese <i>v</i>";"Beany Bar w/ Cook's Tomato Sauce in a Bun <i>v</i>";"Muffin"
"17";"2015-04-07";"4";"Tuesday";"Mince & Tatties";"Homemade Soup & Sanwich Platter <i>v</i>";"Rice Pudding & Fruit Sauce"
"18";"2015-04-08";"4";"Wednesday";"Chicken Korma & Rice";"Sausage Casserole";"Cook's Homemade Pudding"
"19";"2015-04-09";"4";"Thursday";"Homemade Steak Pie w/ Roast Potatoes";"Salmon Grill w/ Roast Potatoes";"Ice Cream & Fruit"
"20";"2015-04-10";"4";"Friday";"Chunky Cod Bites <i>msc</i>";"BBQ Chicken Stir Fry";"Homebake & Milkshake"
